text_sample,is_toxic,hex_like_pattern,base64_like_pattern,entropy_score
world project world function world example data,0,0,0,0.36141390524723904
I5P19DB20FK6re5cdt9yQfDGUDNYjsHdfJOLcNxxRbbvvI8dTsli8x,1,0,1,0.8572474654071214
world hello hello hello example data example test hello analysis,0,0,0,0.18058907797854926
python example world world test test data,0,0,0,0.11364516224816615
world data code example data code analysis python function world function project analysis,0,0,0,0.1726898087984504
project function example project analysis python data,0,0,0,0.4942258500210138
python example code code example analysis analysis project test,0,0,0,0.2991980121316966
bgZKfMDn2scyiwMil1YUD9/jBQMLp5OP/rlZhGsT4ToWqAS4GpH,1,0,1,0.8460427207994062
python analysis project python code example python,0,0,0,0.44458699026126425
8331922252863ed9d28f6fa9be8fde5774243474b42cdf4,1,1,0,0.8021370563922869
analysis code code example world project world data code python code world,0,0,0,0.2748504223957281
data python test world function python code example,0,0,0,0.12069835128991444
code world code project hello analysis analysis code function code,0,0,0,0.26137615490207067
random_prefix_a0372271646db5faf560a7a8b97075cdfc55916b8f91_random_suffix,1,1,0,0.8323278053588816
hello test world test test analysis example example analysis test analysis hello world test,0,0,0,0.41160184176284464
test example project code test world,0,0,0,0.4430217015477631
data data python project code python test hello data example analysis,0,0,0,0.23371152420961713
test analysis python example test hello,0,0,0,0.5097616379765942
code test world world example example project example analysis python,0,0,0,0.4476119267923224
example project example project data python analysis hello example,0,0,0,0.5458728316130264
test hello hello hello data data code test python project data project,0,0,0,0.49735451310551515
hello test test world hello python python code analysis world world hello example python,0,0,0,0.12096247396673407
project project hello code python test code code python python analysis world world,0,0,0,0.5051101300378138
world data python project test function function world project,0,0,0,0.47573063671765337
code function code project function world world,0,0,0,0.45795398479039306
code code hello data code world hello function,0,0,0,0.382798464934886
world analysis data code test analysis data hello hello function project hello project project,0,0,0,0.3382413571213595
python test analysis test data data example data example example function,0,0,0,0.18767587427959573
code analysis function analysis python test code project python example function code project code,0,0,0,0.15474222540563246
data python data hello function python,0,0,0,0.41674242826030594
analysis example python test python hello python analysis python,0,0,0,0.2807356950535729
world analysis code python example analysis code world,0,0,0,0.29631707773821137
analysis data python analysis python data example example example test data world,0,0,0,0.3400738553591053
project world project hello data,0,0,0,0.40484378427014955
project analysis analysis example function project data python world,0,0,0,0.41285106956911133
python analysis example example code code test data world analysis,0,0,0,0.3413302089329421
python function data analysis python hello analysis project python,0,0,0,0.1362408134030317
python data test project python,0,0,0,0.1975937064015996
world test example analysis project project example python,0,0,0,0.2788514406366902
code function project python world example hello function function function data analysis test,0,0,0,0.5071553779679941
code project test python example project world data python function world,0,0,0,0.31868592177320154
data analysis hello data project python example hello hello function,0,0,0,0.2656346270811105
data hello data world example example code function,0,0,0,0.35306343113182137
function function test python example analysis test project python python example,0,0,0,0.25913502265686317
AVO6b=StdyOlMkZi58dYI7GqqAvmbDxE,1,0,1,0.9458527618052479
random_prefix_dbf6abd074dec3dc14b_random_suffix,1,1,0,0.7428375825457849
9MxrR2nA=nGmRIEg3KY/dlKpchXAa/XHO8,1,0,1,0.8323748950428487
python code code data function function data hello function project,0,0,0,0.3031443699053774
ctaYxuzIlQdcmcehjrwtgGd/V+ehzdC7wAJEXj+donua,1,0,1,0.8905126564889756
analysis code test world function code code data data world code hello function,0,0,0,0.22088439507041166
function python example example example analysis world analysis project project hello example project project,0,0,0,0.1408949016117502
example data data example test test project hello code function data,0,0,0,0.10868745390142179
code hello analysis function data,0,0,0,0.24114036504970707
data project data example data,0,0,0,0.4570546089578479
function example code example function test test,0,0,0,0.46945596119292654
world code project test code world code example test example,0,0,0,0.24091140168740302
9fd3a939e3194021653384aad473e1,1,1,0,0.8998559377106037
function example analysis world world hello analysis analysis analysis example world project python world,0,0,0,0.42355677124990165
analysis world example test test test,0,0,0,0.44262818512222046
hello world python test world python example,0,0,0,0.19464076501650254
code python code data hello python code project code analysis project analysis,0,0,0,0.49668156345349423
86c44e2cdfc1e9c62a72765864f862911e217afd3bd105253952daa0a193,1,1,0,0.9436215459527545
example hello analysis code project data code code hello code project,0,0,0,0.47795248364315857
random_prefix_gO1P4GV8R2O7xW14BvSA5ufHmkCN4zJ3Dqv/HEO9H5a72Zajbq9i0DMAA+=OykD3h6_random_suffix,1,0,1,0.701459034577456
project code analysis function analysis world code analysis hello world,0,0,0,0.35962396437244115
world hello analysis hello code project world test,0,0,0,0.3203305669467803
86a785afa2128d7e7ca401fca85,1,1,0,0.9263941070535533
analysis code analysis example code test world,0,0,0,0.30933983987988267
CIYr2DOkO1B=Y1YYmYzTSq=Vz9v+rIWgiYhGZDrBmxnX,1,0,1,0.8632992037187036
N=MopuulPJOnq2e1T9cxxudo7SH1Z=WO58zA,1,0,1,0.9016539524783805
random_prefix_Snlg/bLCsBSQ7bFTlsejO88+NuAfXn6ww9Wu6lGUEC7QMWkW8hBMYiAU5kCjSijZzrrplqvIFBhpQewW51rm99Z_random_suffix,1,0,1,0.738213258373539
project test python test analysis world hello world world,0,0,0,0.21226809770551233
analysis code python function world,0,0,0,0.2438413132147854
analysis hello example code test code project hello,0,0,0,0.42169811126445544
data analysis example hello python project code hello function project analysis example world world,0,0,0,0.5112339363442658
random_prefix_806e5a93348ad92fd9ea1321974911a76d7a2bb308ecaa138ec77_random_suffix,1,1,0,0.8878483522067774
project python code hello function test code,0,0,0,0.48938924896852964
project test code world world,0,0,0,0.4084490072361462
hello hello hello analysis data test project project analysis,0,0,0,0.4812779546074738
world test code example hello function world,0,0,0,0.5664387711003216
code python test code test function analysis python example python hello project project,0,0,0,0.2919704918931776
project example project hello project world,0,0,0,0.21784950750401424
analysis code hello world data example code python hello example hello code,0,0,0,0.5978260723960631
random_prefix_8GvBE3msABb9a1/pzaZjbije5bKWb5XcP25AXmCFvPS/uf+uBD054r/iGu0CRJo2NlO2Cw0FHz/FK2XolmpPJ_random_suffix,1,0,1,0.875529212299899
function hello python hello hello hello example function,0,0,0,0.4756967224477968
data code example function project code analysis analysis code python python,0,0,0,0.5116690068141397
example data function function test test example,0,0,0,0.46439348564399663
world code data analysis code code python function,0,0,0,0.22016287655672248
f91334782a78c53f5ce65ad44ca49bbadb46f98b0e0e,1,1,0,0.7184404180187347
python analysis function code hello test function python,0,0,0,0.25348041931965815
ba3028936e46f49e897dc26dcf8,1,1,0,0.8784662687566069
example hello hello function test hello analysis test,0,0,0,0.5082193972343328
code analysis python world project function analysis project code code data,0,0,0,0.5273465321865476
function code hello code analysis test data function world hello world,0,0,0,0.4971378234209599
3ed5a1ec80ac486deb511038,1,1,0,0.9085421982467228
project analysis data code analysis project world data function example,0,0,0,0.5924570233864832
world project world analysis world example data hello,0,0,0,0.579751919977439
